		
nm	Data	
440.0	9999.9	
440.2	9950	
440.4	9851	
440.6	9707	
440.8	9524	
441.0	9307	
441.2	9061	
441.4	8789	
441.6	8499	
441.8	8193	
442.0	7878	
442.2	7556	
442.4	7229	
442.6	6898	
442.8	6565	
443.0	6232	
443.2	5901	
443.4	5574	
443.6	5255	
443.8	4944	
444.0	4641	
444.2	4347	
444.4	4062	
444.6	3787	
444.8	3524	
445.0	3273	
445.2	3035	
445.4	2810	
445.6	2599	
445.8	2400	
446.0	2213	
446.2	2038	
446.4	1875	
446.6	1723	
446.8	1583	
447.0	1453	
447.2	1334	
447.4	1224	
447.6	1123	
447.8	1030	
448.0	945.8	
448.2	868.9	
448.4	798.7	
448.6	735.0	
448.8	677.0	
449.0	624.3	
449.2	576.5	
449.4	533.1	
449.6	493.7	
449.8	457.9	
450.0	425.3	
450.2	395.8	
450.4	369.0	
450.6	344.6	
450.8	322.5	
451.0	302.4	
451.2	284.3	
451.4	267.9	
451.6	253.0	
451.8	239.5	
452.0	227.4	
452.2	216.4	
452.4	206.4	
452.6	197.4	
452.8	189.2	
453.0	181.9	
453.2	175.4	
453.4	169.5	
453.6	164.3	
453.8	159.6	
454.0	155.4	
454.2	151.7	
454.4	148.3	
454.6	145.3	
454.8	142.6	
455.0	140.2	
455.2	138.2	
455.4	136.4	
455.6	134.8	
455.8	133.5	
456.0	132.3	
456.2	131.3	
456.4	130.5	
456.6	130.0	
456.8	129.6	
457.0	129.3	
457.2	129.1	
457.4	128.9	
457.6	128.8	
457.8	129.0	
458.0	129.3	
458.2	129.7	
458.4	130.0	
458.6	130.3	
458.8	130.7	
459.0	131.2	
459.2	131.9	
459.4	132.8	
459.6	133.6	
459.8	134.5	
460.0	135.4	
460.2	136.2	
460.4	137.2	
460.6	138.1	
460.8	139.0	
461.0	140.0	
461.2	140.9	
461.4	142.0	
461.6	143.2	
461.8	144.5	
462.0	145.8	
462.2	147.2	
462.4	148.5	
462.6	149.9	
462.8	151.2	
463.0	152.7	
463.2	154.0	
463.4	155.3	
463.6	156.7	
463.8	158.0	
464.0	159.4	
464.2	161.0	
464.4	162.5	
464.6	164.1	
464.8	165.6	
465.0	167.1	
465.2	168.6	
465.4	170.1	
465.6	171.7	
465.8	173.3	
466.0	175.0	
466.2	176.6	
466.4	178.4	
466.6	180.3	
466.8	182.1	
467.0	183.8	
467.2	185.5	
467.4	187.3	
467.6	189.3	
467.8	191.3	
468.0	193.3	
468.2	195.0	
468.4	196.9	
468.6	199.0	
468.8	201.3	
469.0	203.7	
469.2	205.9	
469.4	208.1	
469.6	210.1	
469.8	212.2	
470.0	214.5	
470.2	216.9	
470.4	219.3	
470.6	221.7	
470.8	224.1	
471.0	226.3	
471.2	228.5	
471.4	230.7	
471.6	232.9	
471.8	235.1	
472.0	237.3	
472.2	239.6	
472.4	241.9	
472.6	244.3	
472.8	246.7	
473.0	249.3	
473.2	251.9	
473.4	254.7	
473.6	257.4	
473.8	260.0	
474.0	262.7	
474.2	265.6	
474.4	268.4	
474.6	271.2	
474.8	273.9	
475.0	276.7	
475.2	279.6	
475.4	282.6	
475.6	285.4	
475.8	288.3	
476.0	291.2	
476.2	294.0	
476.4	296.8	
476.6	299.5	
476.8	302.3	
477.0	305.0	
477.2	307.9	
477.4	310.8	
477.6	313.7	
477.8	316.6	
478.0	319.5	
478.2	322.5	
478.4	325.7	
478.6	328.9	
478.8	332.3	
479.0	335.6	
479.2	338.8	
479.4	341.8	
479.6	344.9	
479.8	348.1	
480.0	351.5	
480.2	355.1	
480.4	358.7	
480.6	362.2	
480.8	365.6	
481.0	369.2	
481.2	372.8	
481.4	376.6	
481.6	380.3	
481.8	383.7	
482.0	387.0	
482.2	390.4	
482.4	394.0	
482.6	398.0	
482.8	402.1	
483.0	406.1	
483.2	410.1	
483.4	414.1	
483.6	418.3	
483.8	422.6	
484.0	427.0	
484.2	431.2	
484.4	435.5	
484.6	439.9	
484.8	444.5	
485.0	449.0	
485.2	453.6	
485.4	458.0	
485.6	462.2	
485.8	466.6	
486.0	470.8	
486.2	475.1	
486.4	479.6	
486.6	484.2	
