
nm	Data	
440.0	8895	
440.2	8846	
440.4	8754	
440.6	8626	
440.8	8464	
441.0	8271	
441.2	8053	
441.4	7814	
441.6	7560	
441.8	7292	
442.0	7018	
442.2	6736	
442.4	6449	
442.6	6158	
442.8	5866	
443.0	5572	
443.2	5280	
443.4	4992	
443.6	4710	
443.8	4435	
444.0	4167	
444.2	3906	
444.4	3653	
444.6	3409	
444.8	3175	
445.0	2952	
445.2	2740	
445.4	2539	
445.6	2349	
445.8	2171	
446.0	2004	
446.2	1846	
446.4	1700	
446.6	1563	
446.8	1436	
447.0	1319	
447.2	1212	
447.4	1112	
447.6	1021	
447.8	937.0	
448.0	860.5	
448.2	790.7	
448.4	727.2	
448.6	669.3	
448.8	616.7	
449.0	569.0	
449.2	525.7	
449.4	486.3	
449.6	450.6	
449.8	418.1	
450.0	388.6	
450.2	361.9	
450.4	337.7	
450.6	315.7	
450.8	295.8	
451.0	277.7	
451.2	261.3	
451.4	246.4	
451.6	232.8	
451.8	220.6	
452.0	209.5	
452.2	199.5	
452.4	190.5	
452.6	182.3	
452.8	175.1	
453.0	168.5	
453.2	162.6	
453.4	157.4	
453.6	152.7	
453.8	148.7	
454.0	145.0	
454.2	141.7	
454.4	138.9	
454.6	136.3	
454.8	134.0	
455.0	132.0	
455.2	130.4	
455.4	129.0	
455.6	128.0	
455.8	127.0	
456.0	126.2	
456.2	125.6	
456.4	125.1	
456.6	124.9	
456.8	124.7	
457.0	124.8	
457.2	125.0	
457.4	125.2	
457.6	125.4	
457.8	125.7	
458.0	126.0	
458.2	126.3	
458.4	126.7	
458.6	127.3	
458.8	127.9	
459.0	128.8	
459.2	129.7	
459.4	130.7	
459.6	131.6	
459.8	132.5	
460.0	133.4	
460.2	134.3	
460.4	135.1	
460.6	136.0	
460.8	137.1	
461.0	138.3	
461.2	139.6	
461.4	140.9	
461.6	142.3	
461.8	143.7	
462.0	145.2	
462.2	146.7	
462.4	148.2	
462.6	149.8	
462.8	151.3	
463.0	152.9	
463.2	154.6	
463.4	156.2	
463.6	157.8	
463.8	159.4	
464.0	161.0	
464.2	162.7	
464.4	164.4	
464.6	166.1	
464.8	167.9	
465.0	169.8	
465.2	171.6	
465.4	173.5	
465.6	175.3	
465.8	177.1	
466.0	178.9	
466.2	180.8	
466.4	182.7	
466.6	184.8	
466.8	186.9	
467.0	189.1	
467.2	191.4	
467.4	193.6	
467.6	195.8	
467.8	198.0	
468.0	200.2	
468.2	202.4	
468.4	204.8	
468.6	207.1	
468.8	209.4	
469.0	211.7	
469.2	214.0	
469.4	216.4	
469.6	218.8	
469.8	221.2	
470.0	223.8	
470.2	226.5	
470.4	229.2	
470.6	232.1	
470.8	234.9	
471.0	237.6	
471.2	240.4	
471.4	243.1	
471.6	245.7	
471.8	248.3	
472.0	250.8	
472.2	253.4	
472.4	256.0	
472.6	258.7	
472.8	261.5	
473.0	264.3	
473.2	267.3	
473.4	270.3	
473.6	273.4	
473.8	276.4	
