Sample:	'C6 1uL_20C(EM)	
File name:	acetonitrile.FDS	
Run date:	'17:05:10, 12/09/2023	
Operator:	IISER	
Comment:	'	
		
Instrument		
Model:	F-7000 FL Spectrophotometer	
Serial number:	3037-001	
ROM Version:	5J14000 12	
Accessory:	Polarization unit	
		
Instrument parameters		
Measurement type:	Wavelength scan	
Scan mode:	Emission	
Data mode:	Fluorescence	
EX WL:	427.0 nm	
EM  Start WL:	440.0 nm	
EM  End WL:	700.0 nm	
Scan speed:	240 nm/min	
Delay:	1.0 s	
EX Slit:	5.0 nm	
EM Slit:	5.0 nm	
PMT Voltage:	700 V	
Response:	2.0 s	
Corrected spectra:	Off	
Shutter control:	On	
EX Polarizer:	0 deg.	
EM Polarizer:	0 deg.	
		
Data points		
nm	Data	
440.0	6.278	
440.2	6.226	
440.4	6.177	
440.6	6.129	
440.8	6.077	
441.0	6.029	
441.2	5.964	
441.4	5.907	
441.6	5.865	
441.8	5.826	
442.0	5.817	
442.2	5.811	
442.4	5.774	
442.6	5.718	
442.8	5.636	
443.0	5.561	
443.2	5.517	
443.4	5.492	
443.6	5.468	
443.8	5.437	
444.0	5.401	
444.2	5.373	
444.4	5.336	
444.6	5.306	
444.8	5.267	
445.0	5.248	
445.2	5.229	
445.4	5.223	
445.6	5.192	
445.8	5.165	
446.0	5.131	
446.2	5.104	
446.4	5.084	
446.6	5.085	
446.8	5.095	
447.0	5.112	
447.2	5.130	
447.4	5.116	
447.6	5.097	
447.8	5.068	
448.0	5.042	
448.2	5.009	
448.4	4.984	
448.6	4.951	
448.8	4.928	
449.0	4.916	
449.2	4.908	
449.4	4.893	
449.6	4.889	
449.8	4.878	
450.0	4.878	
450.2	4.885	
450.4	4.889	
450.6	4.870	
450.8	4.848	
451.0	4.824	
451.2	4.826	
451.4	4.849	
451.6	4.868	
451.8	4.878	
452.0	4.873	
452.2	4.872	
452.4	4.875	
452.6	4.912	
452.8	4.930	
453.0	4.960	
453.2	5.003	
453.4	5.050	
453.6	5.075	
453.8	5.090	
454.0	5.062	
454.2	5.034	
454.4	5.027	
454.6	5.032	
454.8	5.031	
455.0	5.027	
455.2	5.014	
455.4	5.013	
455.6	5.020	
455.8	5.035	
456.0	5.041	
456.2	5.061	
456.4	5.069	
456.6	5.080	
456.8	5.088	
457.0	5.100	
457.2	5.115	
457.4	5.135	
457.6	5.144	
457.8	5.156	
458.0	5.170	
458.2	5.188	
458.4	5.230	
458.6	5.263	
458.8	5.287	
459.0	5.313	
459.2	5.345	
459.4	5.370	
459.6	5.399	
459.8	5.426	
460.0	5.432	
460.2	5.442	
460.4	5.464	
460.6	5.493	
460.8	5.543	
461.0	5.598	
461.2	5.628	
461.4	5.643	
461.6	5.651	
461.8	5.670	
462.0	5.736	
462.2	5.820	
462.4	5.911	
462.6	5.975	
462.8	6.012	
463.0	6.034	
463.2	6.055	
463.4	6.084	
463.6	6.120	
463.8	6.160	
