		
nm	Data	
440.0	9318	
440.2	9264	
440.4	9163	
440.6	9022	
440.8	8846	
441.0	8639	
441.2	8406	
441.4	8152	
441.6	7881	
441.8	7596	
442.0	7303	
442.2	7003	
442.4	6699	
442.6	6392	
442.8	6083	
443.0	5773	
443.2	5466	
443.4	5163	
443.6	4867	
443.8	4579	
444.0	4298	
444.2	4025	
444.4	3761	
444.6	3508	
444.8	3265	
445.0	3033	
445.2	2813	
445.4	2605	
445.6	2409	
445.8	2225	
446.0	2052	
446.2	1889	
446.4	1738	
446.6	1598	
446.8	1468	
447.0	1348	
447.2	1238	
447.4	1136	
447.6	1042	
447.8	956.9	
448.0	878.8	
448.2	807.6	
448.4	742.6	
448.6	683.5	
448.8	629.7	
449.0	581.0	
449.2	536.7	
449.4	496.3	
449.6	459.7	
449.8	426.5	
450.0	396.4	
450.2	369.1	
450.4	344.3	
450.6	321.7	
450.8	301.3	
451.0	282.8	
451.2	266.0	
451.4	250.9	
451.6	237.2	
451.8	224.7	
452.0	213.4	
452.2	203.2	
452.4	194.1	
452.6	185.8	
452.8	178.4	
453.0	171.6	
453.2	165.5	
453.4	160.0	
453.6	155.1	
453.8	150.8	
454.0	146.9	
454.2	143.4	
454.4	140.4	
454.6	137.7	
454.8	135.5	
455.0	133.5	
455.2	131.7	
455.4	130.2	
455.6	128.8	
455.8	127.7	
456.0	126.7	
456.2	125.9	
456.4	125.4	
456.6	125.0	
456.8	124.6	
457.0	124.5	
457.2	124.4	
457.4	124.5	
457.6	124.7	
457.8	125.0	
458.0	125.4	
458.2	125.8	
458.4	126.3	
458.6	126.8	
458.8	127.4	
459.0	128.1	
459.2	128.8	
459.4	129.7	
459.6	130.6	
459.8	131.5	
460.0	132.4	
460.2	133.4	
460.4	134.6	
460.6	135.8	
460.8	137.0	
461.0	138.1	
461.2	139.3	
461.4	140.3	
461.6	141.5	
461.8	142.7	
462.0	143.9	
462.2	145.2	
462.4	146.5	
462.6	147.8	
462.8	149.2	
463.0	150.6	
463.2	152.0	
463.4	153.6	
463.6	155.2	
463.8	156.8	
464.0	158.5	
464.2	160.2	
464.4	161.8	
464.6	163.5	
464.8	165.1	
465.0	166.6	
465.2	168.2	
465.4	170.0	
465.6	171.9	
465.8	173.9	
466.0	175.9	
466.2	177.7	
466.4	179.5	
466.6	181.5	
466.8	183.3	
467.0	185.3	
467.2	187.2	
467.4	189.1	
467.6	191.1	
467.8	193.1	
468.0	195.0	
468.2	197.1	
468.4	199.5	
468.6	201.9	
468.8	204.5	
469.0	207.1	
469.2	209.5	
469.4	211.9	
469.6	214.2	
469.8	216.3	
470.0	218.6	
470.2	221.1	
470.4	223.7	
470.6	226.4	
470.8	229.1	
471.0	231.6	
471.2	234.0	
471.4	236.5	
471.6	239.1	
471.8	241.7	
472.0	244.5	
472.2	247.2	
472.4	249.8	
472.6	252.3	
472.8	255.0	
473.0	257.8	
473.2	260.7	
473.4	263.5	
473.6	266.2	
473.8	268.8	
474.0	271.6	
474.2	274.5	
474.4	277.5	
474.6	280.7	
474.8	283.8	
475.0	287.2	
475.2	290.6	
475.4	293.9	
475.6	297.0	
475.8	300.1	
476.0	303.0	
476.2	306.0	
476.4	309.3	
476.6	312.6	
476.8	315.8	
477.0	319.0	
477.2	322.0	
477.4	325.1	
477.6	328.4	
477.8	331.8	
478.0	335.3	
478.2	338.9	
478.4	342.4	
478.6	345.9	
478.8	349.2	
479.0	352.8	
479.2	356.4	
479.4	360.2	
479.6	364.1	
479.8	368.1	
480.0	372.2	
480.2	376.1	
480.4	380.2	
480.6	384.1	
480.8	388.2	
481.0	392.3	
481.2	396.4	
481.4	400.6	
481.6	405.0	
481.8	409.4	
482.0	413.8	
482.2	418.2	
482.4	422.5	
482.6	427.0	
482.8	431.5	
483.0	436.2	
483.2	440.8	
483.4	445.5	
483.6	450.2	
483.8	454.9	
484.0	459.6	
484.2	464.3	
484.4	469.2	
484.6	474.2	
484.8	479.4	
485.0	484.4	
485.2	489.4	
485.4	494.2	
485.6	499.1	
485.8	504.2	
486.0	509.4	
486.2	514.7	
486.4	520.2	
486.6	525.8	
486.8	531.2	
487.0	536.8	
487.2	542.3	
487.4	547.7	
487.6	553.3	
487.8	558.7	
488.0	564.2	
488.2	569.8	
488.4	575.5	
488.6	581.3	
488.8	587.3	
489.0	593.3	
489.2	599.4	
489.4	605.2	
489.6	611.0	
489.8	616.9	
490.0	623.1	
490.2	629.5	
490.4	635.9	
490.6	642.5	
490.8	649.2	
491.0	656.0	
491.2	662.8	
491.4	669.3	
491.6	675.7	
491.8	682.1	
492.0	688.5	
492.2	694.9	
492.4	701.6	
492.6	708.1	
492.8	714.5	
493.0	720.9	
493.2	727.4	
493.4	734.1	
493.6	740.9	
493.8	747.6	
494.0	754.5	
494.2	761.6	
494.4	769.0	
494.6	776.6	
494.8	784.3	
495.0	791.7	
495.2	798.9	
495.4	806.2	
495.6	813.2	
495.8	820.3	
496.0	827.7	
496.2	835.1	
496.4	842.2	
496.6	849.3	
496.8	856.4	
497.0	863.7	
497.2	871.1	
497.4	878.4	
497.6	885.8	
497.8	893.5	
498.0	901.3	
498.2	909.5	
498.4	917.6	
498.6	925.4	
498.8	933.1	
499.0	940.7	
499.2	948.1	
499.4	955.7	
499.6	963.3	
499.8	971.1	
500.0	979.3	
500.2	987.4	
500.4	995.3	
500.6	1003	
500.8	1011	
501.0	1019	
501.2	1027	
501.4	1035	
501.6	1043	
501.8	1051	
502.0	1058	
502.2	1066	
502.4	1074	
502.6	1082	
502.8	1090	
503.0	1098	
503.2	1106	
503.4	1114	
503.6	1122	
503.8	1131	
504.0	1139	
504.2	1148	
504.4	1156	
504.6	1163	
504.8	1171	
505.0	1180	
505.2	1188	
505.4	1195	
505.6	1203	
505.8	1211	
506.0	1219	
506.2	1228	
506.4	1236	
506.6	1245	
506.8	1253	
507.0	1261	
507.2	1270	
507.4	1278	
507.6	1286	
507.8	1294	
508.0	1302	
508.2	1310	
508.4	1318	
508.6	1326	
508.8	1335	
509.0	1343	
509.2	1351	
509.4	1359	
509.6	1367	
509.8	1375	
510.0	1383	
510.2	1391	
510.4	1399	
510.6	1407	
510.8	1415	
511.0	1422	
511.2	1430	
511.4	1439	
511.6	1447	
511.8	1455	
512.0	1463	
512.2	1470	
512.4	1478	
512.6	1486	
512.8	1494	
513.0	1502	
513.2	1510	
513.4	1518	
513.6	1526	
513.8	1534	
514.0	1541	
514.2	1549	
514.4	1557	
514.6	1564	
514.8	1572	
515.0	1581	
515.2	1589	
515.4	1597	
515.6	1604	
515.8	1612	
516.0	1620	
516.2	1628	
516.4	1636	
516.6	1643	
516.8	1651	
517.0	1659	
517.2	1667	
517.4	1674	
517.6	1682	
517.8	1689	
518.0	1696	
518.2	1704	
518.4	1712	
518.6	1719	
518.8	1725	
519.0	1731	
519.2	1738	
519.4	1744	
519.6	1751	
519.8	1758	
520.0	1765	
520.2	1772	
520.4	1779	
520.6	1786	
520.8	1793	
521.0	1799	
521.2	1806	
521.4	1812	
521.6	1819	
521.8	1825	
522.0	1831	
522.2	1837	
522.4	1843	
522.6	1849	
522.8	1855	
523.0	1861	
523.2	1867	
523.4	1873	
523.6	1879	
523.8	1884	
