				
nm	Data	
440.0	9271	
440.2	9216	
440.4	9116	
440.6	8977	
440.8	8803	
441.0	8598	
441.2	8368	
441.4	8114	
441.6	7846	
441.8	7564	
442.0	7274	
442.2	6977	
442.4	6675	
442.6	6368	
442.8	6061	
443.0	5752	
443.2	5447	
443.4	5145	
443.6	4851	
443.8	4563	
444.0	4283	
444.2	4012	
444.4	3749	
444.6	3496	
444.8	3253	
445.0	3022	
445.2	2803	
445.4	2596	
445.6	2401	
445.8	2217	
446.0	2045	
446.2	1883	
446.4	1733	
446.6	1593	
446.8	1463	
447.0	1344	
447.2	1234	
447.4	1132	
447.6	1039	
447.8	953.5	
448.0	875.5	
448.2	804.5	
448.4	739.8	
448.6	680.9	
448.8	627.4	
449.0	578.8	
449.2	534.6	
449.4	494.6	
449.6	458.2	
449.8	425.1	
450.0	395.0	
450.2	367.7	
450.4	343.0	
450.6	320.6	
450.8	300.4	
451.0	282.0	
451.2	265.4	
451.4	250.2	
451.6	236.4	
451.8	223.9	
452.0	212.6	
452.2	202.4	
452.4	193.3	
452.6	185.1	
452.8	177.7	
453.0	171.0	
453.2	165.0	
453.4	159.6	
453.6	154.8	
453.8	150.4	
454.0	146.6	
454.2	143.2	
454.4	140.2	
454.6	137.6	
454.8	135.3	
455.0	133.3	
455.2	131.5	
455.4	130.0	
455.6	128.7	
455.8	127.6	
456.0	126.7	
456.2	125.9	
456.4	125.2	
456.6	124.7	
456.8	124.4	
457.0	124.2	
457.2	124.1	
457.4	124.1	
457.6	124.3	
457.8	124.7	
458.0	125.2	
458.2	125.7	
458.4	126.0	
458.6	126.5	
458.8	127.2	
459.0	128.1	
459.2	129.0	
459.4	129.9	
459.6	130.7	
459.8	131.5	
460.0	132.4	
460.2	133.3	
460.4	134.2	
460.6	135.3	
460.8	136.3	
461.0	137.5	
461.2	138.6	
461.4	139.9	
461.6	141.2	
461.8	142.6	
462.0	143.7	
462.2	144.9	
462.4	145.9	
462.6	147.1	
462.8	148.5	
463.0	150.0	
463.2	151.4	
463.4	152.8	
463.6	154.1	
463.8	155.5	
464.0	157.0	
464.2	158.8	
464.4	160.4	
464.6	162.0	
464.8	163.6	
465.0	165.2	
465.2	167.0	
465.4	168.8	
465.6	170.6	
465.8	172.4	
466.0	174.2	
466.2	176.1	
466.4	178.0	
466.6	179.8	
466.8	181.6	
467.0	183.5	
467.2	185.5	
467.4	187.6	
467.6	189.7	
467.8	191.7	
468.0	193.7	
468.2	195.8	
468.4	198.1	
468.6	200.3	
468.8	202.6	
469.0	204.9	
469.2	207.1	
469.4	209.5	
469.6	212.0	
469.8	214.6	
470.0	217.2	
470.2	219.7	
470.4	222.3	
470.6	224.8	
470.8	227.3	
471.0	229.9	
471.2	232.5	
471.4	235.1	
471.6	237.6	
471.8	240.1	
472.0	242.7	
472.2	245.3	
472.4	248.0	
472.6	250.7	
472.8	253.4	
473.0	256.3	
473.2	259.3	
473.4	262.4	
473.6	265.4	
473.8	268.0	
474.0	270.6	
474.2	273.4	
474.4	276.3	
474.6	279.4	
474.8	282.6	
475.0	285.6	
475.2	288.6	
475.4	291.7	
475.6	294.7	
475.8	297.8	
476.0	301.0	
476.2	304.1	
476.4	307.2	
476.6	310.6	
476.8	314.0	
477.0	317.4	
477.2	320.8	
477.4	324.0	
477.6	327.3	
477.8	330.6	
478.0	333.8	
478.2	337.0	
478.4	340.5	
478.6	344.1	
478.8	347.9	
479.0	351.6	
479.2	355.0	
479.4	358.4	
479.6	362.2	
479.8	366.0	
480.0	370.1	
480.2	373.9	
480.4	377.7	
480.6	381.6	
480.8	385.5	
481.0	389.5	
481.2	393.5	
481.4	397.3	
481.6	401.3	
481.8	405.4	
482.0	409.4	
482.2	413.5	
482.4	417.7	
482.6	421.7	
482.8	425.8	
483.0	430.0	
483.2	434.5	
483.4	439.2	
483.6	444.1	
483.8	448.8	
484.0	453.4	
484.2	458.2	
484.4	463.1	
484.6	468.2	
484.8	473.3	
485.0	478.5	
485.2	483.5	
485.4	488.3	
485.6	493.1	
485.8	498.0	
486.0	503.2	
486.2	508.6	
486.4	514.2	
486.6	519.7	
486.8	525.0	
487.0	530.3	
487.2	535.7	
487.4	541.0	
487.6	546.5	
487.8	552.3	
488.0	558.1	
488.2	564.0	
488.4	569.9	
488.6	575.8	
488.8	581.6	
489.0	587.4	
489.2	593.2	
489.4	599.1	
489.6	605.5	
489.8	611.6	
490.0	617.7	
490.2	623.8	
490.4	630.1	
490.6	636.5	
490.8	643.4	
491.0	650.1	
491.2	656.5	
491.4	662.8	
491.6	669.0	
491.8	675.2	
492.0	681.5	
492.2	688.1	
492.4	694.7	
492.6	701.2	
492.8	707.8	
493.0	714.3	
493.2	720.8	
493.4	727.5	
493.6	734.2	
493.8	740.7	
494.0	747.1	
494.2	753.6	
494.4	760.4	
494.6	767.3	
494.8	774.5	
495.0	781.9	
495.2	789.0	
495.4	796.1	
495.6	803.0	
495.8	809.7	
496.0	816.6	
496.2	823.9	
496.4	831.1	
496.6	838.6	
496.8	845.9	
497.0	852.9	
497.2	860.1	
497.4	867.3	
497.6	874.3	
497.8	881.8	
498.0	889.3	
498.2	896.7	
498.4	904.1	
498.6	911.8	
498.8	919.5	
499.0	927.5	
499.2	935.6	
499.4	943.5	
499.6	951.6	
499.8	959.8	
500.0	968.2	
500.2	976.5	
500.4	984.7	
500.6	992.7	
500.8	1001	
501.0	1009	
501.2	1017	
501.4	1024	
501.6	1032	
501.8	1040	
502.0	1048	
502.2	1056	
502.4	1064	
502.6	1072	
502.8	1080	
503.0	1087	
503.2	1095	
503.4	1102	
503.6	1110	
503.8	1117	
504.0	1126	
504.2	1134	
504.4	1142	
504.6	1150	
504.8	1158	
505.0	1165	
505.2	1173	
505.4	1181	
505.6	1189	
505.8	1197	
506.0	1205	
506.2	1213	
506.4	1221	
506.6	1229	
506.8	1237	
507.0	1246	
507.2	1254	
507.4	1262	
507.6	1270	
507.8	1279	
508.0	1287	
508.2	1295	
508.4	1302	
508.6	1310	
508.8	1318	
509.0	1326	
509.2	1334	
509.4	1341	
509.6	1349	
509.8	1357	
510.0	1366	
510.2	1373	
510.4	1381	
510.6	1389	
510.8	1397	
511.0	1405	
511.2	1413	
511.4	1421	
511.6	1429	
511.8	1437	
512.0	1445	
512.2	1453	
512.4	1460	
512.6	1468	
512.8	1475	
513.0	1483	
513.2	1491	
513.4	1499	
513.6	1507	
513.8	1514	
514.0	1521	
514.2	1529	
514.4	1537	
514.6	1545	
514.8	1553	
515.0	1561	
515.2	1569	
515.4	1577	
515.6	1585	
515.8	1593	
516.0	1600	
516.2	1608	
516.4	1616	
516.6	1624	
516.8	1632	
517.0	1640	
517.2	1647	
517.4	1654	
517.6	1661	
517.8	1668	
518.0	1675	
518.2	1682	
518.4	1689	
518.6	1696	
518.8	1703	
519.0	1711	
519.2	1717	
519.4	1724	
519.6	1731	
519.8	1738	
520.0	1744	
520.2	1751	
520.4	1757	
520.6	1763	
520.8	1770	
521.0	1776	
521.2	1782	
521.4	1788	
521.6	1795	
521.8	1802	
522.0	1808	
522.2	1814	
522.4	1820	
522.6	1825	
522.8	1831	
523.0	1837	
523.2	1843	
523.4	1849	
523.6	1854	
523.8	1860	
524.0	1866	
524.2	1871	
524.4	1875	
524.6	1880	
524.8	1884	
525.0	1888	
525.2	1893	
525.4	1897	
525.6	1901	
525.8	1905	
526.0	1910	
526.2	1914	
526.4	1918	
526.6	1922	
526.8	1926	
527.0	1930	
527.2	1934	
527.4	1937	
527.6	1941	
527.8	1944	
528.0	1948	
528.2	1952	
528.4	1956	
528.6	1959	
528.8	1962	
529.0	1965	
529.2	1968	
529.4	1970	
529.6	1973	
529.8	1976	
530.0	1980	
530.2	1982	
530.4	1984	
530.6	1986	
530.8	1987	
531.0	1989	
531.2	1991	
531.4	1992	
531.6	1993	
531.8	1995	
532.0	1997	
532.2	1998	
532.4	2000	
532.6	2001	
532.8	2002	
533.0	2002	
533.2	2003	
533.4	2004	
533.6	2004	
533.8	2005	
534.0	2005	
534.2	2004	
534.4	2005	
534.6	2006	
534.8	2007	
535.0	2007	
535.2	2007	
535.4	2005	
535.6	2004	
535.8	2003	
536.0	2003	
536.2	2003	
536.4	2003	
536.6	2001	
536.8	2000	
537.0	1998	
537.2	1995	
537.4	1994	
537.6	1993	
537.8	1992	
538.0	1991	
538.2	1990	
538.4	1988	
538.6	1986	
538.8	1983	
539.0	1981	
539.2	1979	
539.4	1977	
539.6	1976	
539.8	1974	
540.0	1973	
540.2	1971	
540.4	1969	
540.6	1967	
540.8	1964	
541.0	1961	
541.2	1959	
541.4	1956	
541.6	1954	
541.8	1951	
542.0	1947	
542.2	1943	
542.4	1940	
542.6	1936	
542.8	1933	
543.0	1930	
543.2	1926	
543.4	1923	
543.6	1919	
543.8	1915	
544.0	1911	
544.2	1908	
544.4	1905	
544.6	1902	
544.8	1898	
545.0	1894	
545.2	1890	
545.4	1887	
545.6	1883	
545.8	1879	
546.0	1875	
546.2	1871	
546.4	1867	
546.6	1863	
546.8	1859	
547.0	1855	
547.2	1850	
547.4	1845	
547.6	1840	
547.8	1836	
548.0	1832	
548.2	1827	
548.4	1823	
548.6	1819	
548.8	1815	
549.0	1811	
549.2	1806	
549.4	1802	
549.6	1797	
549.8	1793	
550.0	1788	
550.2	1784	
550.4	1779	
550.6	1775	
550.8	1771	
551.0	1766	
551.2	1761	
551.4	1757	
551.6	1753	
551.8	1749	
552.0	1744	
552.2	1739	
552.4	1735	
552.6	1730	
552.8	1725	
553.0	1720	
553.2	1715	
553.4	1711	
553.6	1706	
553.8	1702	
554.0	1697	
554.2	1692	
554.4	1687	
554.6	1683	
554.8	1678	
555.0	1673	
555.2	1668	
555.4	1663	
555.6	1658	
555.8	1653	
556.0	1647	
556.2	1642	
556.4	1637	
556.6	1632	
556.8	1627	
557.0	1622	
557.2	1618	
557.4	1613	
557.6	1608	
557.8	1603	
558.0	1599	
558.2	1594	
558.4	1589	
558.6	1583	
558.8	1577	
559.0	1572	
559.2	1567	
559.4	1562	
559.6	1557	
559.8	1552	
560.0	1547	
560.2	1542	
560.4	1536	
560.6	1531	
560.8	1525	
561.0	1520	
561.2	1515	
561.4	1510	
561.6	1504	
561.8	1499	
562.0	1493	
562.2	1488	
562.4	1482	
562.6	1477	
562.8	1472	
563.0	1467	
563.2	1462	
563.4	1457	
563.6	1452	
563.8	1448	
564.0	1443	
564.2	1438	
564.4	1433	
564.6	1428	
564.8	1423	
565.0	1417	
565.2	1412	
565.4	1407	
565.6	1402	
565.8	1397	
566.0	1392	
566.2	1387	
566.4	1382	
566.6	1377	
566.8	1371	
567.0	1366	
567.2	1360	
567.4	1355	
567.6	1350	
567.8	1345	
568.0	1340	
568.2	1334	
568.4	1329	
568.6	1324	
568.8	1319	
569.0	1314	
569.2	1309	
569.4	1304	
569.6	1299	
569.8	1293	
570.0	1288	
570.2	1282	
570.4	1277	
570.6	1271	
570.8	1266	
571.0	1261	
571.2	1255	
571.4	1250	
571.6	1245	
571.8	1240	
572.0	1235	
572.2	1230	
572.4	1225	
572.6	1219	
572.8	1215	
573.0	1210	
573.2	1205	
573.4	1200	
573.6	1194	
573.8	1189	
574.0	1184	
574.2	1178	
574.4	1173	
574.6	1168	
574.8	1163	
575.0	1158	
575.2	1152	
575.4	1147	
575.6	1141	
575.8	1136	
576.0	1131	
576.2	1126	
576.4	1121	
576.6	1116	
576.8	1111	
577.0	1105	
