
nm	Data	
440.0	9297	
440.2	9240	
440.4	9139	
440.6	8998	
440.8	8822	
441.0	8615	
441.2	8382	
441.4	8128	
441.6	7858	
441.8	7574	
442.0	7282	
442.2	6984	
442.4	6681	
442.6	6375	
442.8	6066	
443.0	5756	
443.2	5450	
443.4	5149	
443.6	4853	
443.8	4565	
444.0	4285	
444.2	4013	
444.4	3750	
444.6	3496	
444.8	3254	
445.0	3023	
445.2	2804	
445.4	2596	
445.6	2401	
445.8	2217	
446.0	2045	
446.2	1884	
446.4	1733	
446.6	1593	
446.8	1463	
447.0	1344	
447.2	1234	
447.4	1132	
447.6	1039	
447.8	953.9	
448.0	876.0	
448.2	804.9	
448.4	740.2	
448.6	681.3	
448.8	627.7	
449.0	579.0	
449.2	534.7	
449.4	494.6	
449.6	458.2	
449.8	425.2	
450.0	395.2	
450.2	367.8	
450.4	343.1	
450.6	320.6	
450.8	300.2	
451.0	281.7	
451.2	265.0	
451.4	249.9	
451.6	236.2	
451.8	223.9	
452.0	212.7	
452.2	202.6	
452.4	193.4	
452.6	185.2	
452.8	177.7	
453.0	171.0	
453.2	164.9	
453.4	159.3	
453.6	154.3	
453.8	149.9	
454.0	145.9	
454.2	142.4	
454.4	139.4	
454.6	136.8	
454.8	134.5	
455.0	132.5	
455.2	130.7	
455.4	129.1	
455.6	127.7	
455.8	126.6	
456.0	125.7	
456.2	124.9	
456.4	124.3	
456.6	123.9	
456.8	123.5	
457.0	123.3	
457.2	123.2	
457.4	123.3	
457.6	123.5	
457.8	123.8	
458.0	124.2	
458.2	124.6	
458.4	125.0	
458.6	125.6	
458.8	126.2	
459.0	126.9	
459.2	127.7	
459.4	128.4	
459.6	129.1	
459.8	129.8	
460.0	130.7	
460.2	131.6	
460.4	132.6	
460.6	133.6	
460.8	134.8	
461.0	136.0	
461.2	137.1	
461.4	138.3	
461.6	139.5	
461.8	140.8	
462.0	142.1	
462.2	143.5	
462.4	144.9	
462.6	146.4	
462.8	147.9	
463.0	149.2	
463.2	150.6	
463.4	152.0	
463.6	153.7	
463.8	155.3	
464.0	156.9	
464.2	158.3	
464.4	159.7	
464.6	161.1	
464.8	162.8	
465.0	164.5	
465.2	166.3	
465.4	168.2	
465.6	170.2	
465.8	172.1	
466.0	174.0	
466.2	175.9	
466.4	177.9	
466.6	179.8	
466.8	181.8	
467.0	183.8	
467.2	185.8	
467.4	187.7	
467.6	189.4	
467.8	191.1	
468.0	192.8	
468.2	194.7	
468.4	197.0	
468.6	199.4	
468.8	201.7	
469.0	204.0	
469.2	206.3	
469.4	208.8	
469.6	211.4	
469.8	214.0	
470.0	216.4	
470.2	218.6	
470.4	220.8	
470.6	223.0	
470.8	225.2	
471.0	227.6	
471.2	230.0	
471.4	232.5	
471.6	234.9	
471.8	237.5	
472.0	239.9	
472.2	242.3	
472.4	244.8	
472.6	247.2	
472.8	249.6	
473.0	252.2	
473.2	254.9	
473.4	257.9	
473.6	261.0	
473.8	264.0	
474.0	266.9	
474.2	269.8	
474.4	272.8	
474.6	275.7	
474.8	278.6	
475.0	281.7	
475.2	284.9	
475.4	288.1	
475.6	291.2	
475.8	294.0	
476.0	296.7	
476.2	299.5	
476.4	302.7	
476.6	305.9	
476.8	309.2	
477.0	312.5	
477.2	315.6	
477.4	318.7	
477.6	321.8	
477.8	324.8	
478.0	328.1	
478.2	331.4	
478.4	334.8	
478.6	338.2	
478.8	341.6	
479.0	345.2	
479.2	348.8	
479.4	352.5	
479.6	356.3	
479.8	360.2	
480.0	364.1	
480.2	368.2	
480.4	372.1	
480.6	376.0	
480.8	379.8	
481.0	383.7	
481.2	387.6	
481.4	391.8	
481.6	395.8	
481.8	399.7	
482.0	403.7	
482.2	407.7	
482.4	411.8	
482.6	416.1	
482.8	420.3	
483.0	424.6	
483.2	429.0	
483.4	433.5	
483.6	438.1	
483.8	442.8	
484.0	447.4	
484.2	452.1	
484.4	456.6	
484.6	461.3	
484.8	466.2	
485.0	471.2	
485.2	476.2	
485.4	481.2	
485.6	486.1	
485.8	491.0	
486.0	495.9	
486.2	500.7	
486.4	505.7	
486.6	510.9	
486.8	516.0	
487.0	521.2	
487.2	526.4	
487.4	531.6	
487.6	537.1	
487.8	542.8	
488.0	548.6	
488.2	554.3	
488.4	559.9	
488.6	565.3	
488.8	571.1	
489.0	576.7	
489.2	582.5	
489.4	588.4	
489.6	594.1	
489.8	600.1	
490.0	606.3	
490.2	612.4	
490.4	618.5	
490.6	624.7	
490.8	630.8	
491.0	636.9	
491.2	643.1	
491.4	649.3	
491.6	655.6	
491.8	662.0	
492.0	668.3	
492.2	674.8	
492.4	681.1	
492.6	687.5	
492.8	693.8	
493.0	699.9	
493.2	706.0	
493.4	712.1	
493.6	718.4	
493.8	724.8	
494.0	731.6	
494.2	738.5	
494.4	745.6	
494.6	752.8	
494.8	759.9	
495.0	767.0	
495.2	774.0	
495.4	780.9	
495.6	787.6	
495.8	794.6	
496.0	801.8	
496.2	809.2	
496.4	816.6	
496.6	823.7	
496.8	830.5	
497.0	837.2	
497.2	844.1	
497.4	851.1	
497.6	857.9	
497.8	864.8	
498.0	871.6	
498.2	878.6	
498.4	885.9	
498.6	893.4	
498.8	900.7	
499.0	908.1	
499.2	915.4	
499.4	922.8	
499.6	930.1	
499.8	937.5	
500.0	944.7	
500.2	952.1	
500.4	959.4	
500.6	967.2	
500.8	974.9	
501.0	982.7	
501.2	990.4	
501.4	998.0	
501.6	1005	
501.8	1013	
502.0	1021	
502.2	1029	
502.4	1036	
502.6	1044	
502.8	1052	
503.0	1059	
503.2	1067	
503.4	1074	
503.6	1082	
503.8	1089	
504.0	1097	
504.2	1104	
504.4	1112	
504.6	1120	
504.8	1128	
505.0	1136	
505.2	1144	
505.4	1151	
505.6	1159	
505.8	1167	
506.0	1176	
506.2	1184	
506.4	1193	
506.6	1202	
506.8	1210	
507.0	1218	
507.2	1225	
507.4	1233	
507.6	1240	
507.8	1248	
508.0	1256	
508.2	1264	
508.4	1272	
508.6	1279	
508.8	1287	
509.0	1295	
509.2	1302	
509.4	1310	
509.6	1318	
509.8	1326	
510.0	1333	
510.2	1341	
510.4	1348	
510.6	1356	
510.8	1364	
511.0	1372	
511.2	1380	
511.4	1388	
511.6	1396	
511.8	1403	
512.0	1410	
512.2	1418	
512.4	1425	
512.6	1433	
512.8	1440	
513.0	1448	
513.2	1456	
513.4	1464	
513.6	1472	
513.8	1480	
514.0	1488	
514.2	1496	
514.4	1503	
514.6	1511	
514.8	1518	
515.0	1526	
515.2	1533	
515.4	1541	
515.6	1548	
515.8	1556	
516.0	1564	
516.2	1572	
516.4	1580	
516.6	1587	
516.8	1594	
517.0	1601	
517.2	1608	
517.4	1616	
517.6	1623	
517.8	1629	
518.0	1636	
518.2	1643	
518.4	1650	
518.6	1657	
518.8	1664	
519.0	1671	
519.2	1678	
519.4	1685	
519.6	1691	
519.8	1698	
520.0	1704	
520.2	1710	
520.4	1716	
520.6	1722	
520.8	1728	
521.0	1734	
521.2	1740	
521.4	1746	
521.6	1752	
521.8	1757	
522.0	1763	
522.2	1769	
522.4	1774	
522.6	1780	
522.8	1785	
523.0	1791	
523.2	1797	
523.4	1803	
523.6	1809	
523.8	1814	
524.0	1819	
524.2	1823	
524.4	1828	
524.6	1833	
524.8	1838	
525.0	1844	
525.2	1849	
525.4	1854	
525.6	1858	
525.8	1863	
526.0	1867	
526.2	1872	
526.4	1877	
526.6	1881	
526.8	1885	
527.0	1890	
527.2	1893	
527.4	1897	
