
nm	Data	
440.0	9204	
440.2	9148	
440.4	9049	
440.6	8911	
440.8	8739	
441.0	8537	
441.2	8309	
441.4	8058	
441.6	7791	
441.8	7510	
442.0	7221	
442.2	6925	
442.4	6625	
442.6	6323	
442.8	6018	
443.0	5713	
443.2	5410	
443.4	5110	
443.6	4818	
443.8	4532	
444.0	4254	
444.2	3985	
444.4	3725	
444.6	3474	
444.8	3233	
445.0	3004	
445.2	2786	
445.4	2580	
445.6	2386	
445.8	2204	
446.0	2033	
446.2	1872	
446.4	1723	
446.6	1583	
446.8	1455	
447.0	1336	
447.2	1226	
447.4	1126	
447.6	1033	
447.8	948.4	
448.0	870.9	
448.2	800.4	
448.4	736.2	
448.6	677.8	
448.8	624.7	
449.0	576.5	
449.2	532.7	
449.4	492.8	
449.6	456.5	
449.8	423.6	
450.0	393.9	
450.2	366.9	
450.4	342.4	
450.6	320.2	
450.8	300.0	
451.0	281.7	
451.2	265.1	
451.4	250.0	
451.6	236.4	
451.8	224.1	
452.0	213.0	
452.2	202.8	
452.4	193.6	
452.6	185.3	
452.8	177.9	
453.0	171.2	
453.2	165.1	
453.4	159.7	
453.6	155.0	
453.8	150.8	
454.0	147.0	
454.2	143.6	
454.4	140.6	
454.6	137.9	
454.8	135.6	
455.0	133.6	
455.2	132.0	
455.4	130.5	
455.6	129.2	
455.8	128.2	
456.0	127.3	
456.2	126.6	
456.4	126.1	
456.6	125.6	
456.8	125.2	
457.0	124.9	
457.2	124.7	
457.4	124.7	
457.6	124.9	
457.8	125.2	
458.0	125.6	
458.2	126.2	
458.4	126.8	
458.6	127.4	
458.8	128.0	
459.0	128.6	
459.2	129.4	
459.4	130.3	
459.6	131.2	
459.8	132.2	
460.0	133.1	
460.2	134.1	
460.4	135.2	
460.6	136.3	
460.8	137.6	
461.0	138.8	
461.2	140.0	
461.4	141.1	
461.6	142.2	
461.8	143.5	
462.0	144.8	
462.2	146.1	
462.4	147.5	
462.6	148.8	
462.8	150.2	
463.0	151.7	
463.2	153.2	
463.4	154.8	
463.6	156.6	
463.8	158.3	
464.0	160.1	
464.2	161.8	
464.4	163.5	
464.6	165.3	
464.8	167.1	
465.0	168.9	
465.2	170.7	
465.4	172.5	
465.6	174.2	
465.8	175.9	
466.0	177.5	
466.2	179.2	
466.4	181.1	
466.6	182.9	
466.8	184.9	
467.0	186.9	
467.2	189.2	
467.4	191.5	
467.6	193.7	
467.8	195.8	
468.0	197.8	
468.2	199.8	
468.4	202.0	
468.6	204.3	
468.8	206.7	
469.0	209.1	
469.2	211.5	
469.4	213.9	
469.6	216.5	
469.8	219.2	
470.0	221.9	
470.2	224.4	
470.4	227.1	
470.6	229.6	
470.8	232.2	
471.0	234.8	
471.2	237.2	
471.4	239.6	
471.6	242.3	
471.8	244.8	
472.0	247.6	
472.2	250.2	
472.4	252.9	
472.6	255.8	
472.8	258.7	
473.0	261.5	
473.2	264.3	
473.4	267.2	
473.6	270.2	
473.8	273.3	
474.0	276.4	
474.2	279.6	
474.4	282.9	
474.6	286.1	
474.8	289.3	
475.0	292.5	
475.2	295.6	
475.4	298.8	
