
nm	Data	
440.0	9999.9	
440.2	9998	
440.4	9935	
440.6	9818	
440.8	9656	
441.0	9454	
441.2	9219	
441.4	8956	
441.6	8672	
441.8	8369	
442.0	8055	
442.2	7732	
442.4	7402	
442.6	7066	
442.8	6727	
443.0	6387	
443.2	6049	
443.4	5714	
443.6	5385	
443.8	5065	
444.0	4753	
444.2	4449	
444.4	4156	
444.6	3873	
444.8	3603	
445.0	3345	
445.2	3101	
445.4	2870	
445.6	2653	
445.8	2448	
446.0	2257	
446.2	2078	
446.4	1912	
446.6	1757	
446.8	1614	
447.0	1483	
447.2	1362	
447.4	1251	
447.6	1149	
447.8	1057	
448.0	972.0	
448.2	895.0	
448.4	825.1	
448.6	761.5	
448.8	703.6	
449.0	651.2	
449.2	603.6	
449.4	560.4	
449.6	521.2	
449.8	485.6	
450.0	453.3	
450.2	423.9	
450.4	397.4	
450.6	373.4	
450.8	351.7	
451.0	332.1	
451.2	314.3	
451.4	298.3	
451.6	283.8	
451.8	270.6	
452.0	258.7	
452.2	247.9	
452.4	238.2	
452.6	229.4	
452.8	221.5	
453.0	214.3	
453.2	207.8	
453.4	202.1	
453.6	197.2	
453.8	193.0	
454.0	189.2	
454.2	185.8	
454.4	182.7	
454.6	180.0	
454.8	177.6	
455.0	175.6	
455.2	173.7	
455.4	172.1	
455.6	170.8	
455.8	169.7	
456.0	168.8	
456.2	168.3	
456.4	168.1	
456.6	167.9	
456.8	168.0	
457.0	168.1	
457.2	168.2	
457.4	168.5	
457.6	169.1	
457.8	169.8	
458.0	170.7	
458.2	171.5	
458.4	172.3	
458.6	173.2	
458.8	174.3	
459.0	175.4	
459.2	176.5	
459.4	177.7	
459.6	178.8	
459.8	180.0	
460.0	181.2	
460.2	182.7	
460.4	184.3	
460.6	186.0	
460.8	187.7	
461.0	189.3	
461.2	190.8	
461.4	192.4	
461.6	194.1	
461.8	195.9	
462.0	197.8	
462.2	199.7	
462.4	201.6	
462.6	203.6	
462.8	205.6	
463.0	207.5	
463.2	209.7	
463.4	211.9	
463.6	214.0	
463.8	216.2	
464.0	218.6	
464.2	221.0	
464.4	223.6	
464.6	226.1	
464.8	228.6	
465.0	231.0	
465.2	233.4	
465.4	235.8	
465.6	238.4	
465.8	241.0	
466.0	243.8	
466.2	246.4	
466.4	249.0	
466.6	251.7	
466.8	254.7	
467.0	257.9	
467.2	261.0	
467.4	264.1	
467.6	266.9	
467.8	269.7	
468.0	272.7	
468.2	275.6	
468.4	278.6	
468.6	281.6	
468.8	284.7	
469.0	287.9	
469.2	291.2	
469.4	294.4	
469.6	297.6	
469.8	300.9	
470.0	304.1	
470.2	307.4	
470.4	310.7	
470.6	314.0	
470.8	317.4	
471.0	321.0	
471.2	324.5	
471.4	327.8	
471.6	331.2	
471.8	334.5	
472.0	338.0	
472.2	341.5	
472.4	345.0	
472.6	348.4	
