
nm	Data	
440.0	9634	
440.2	9578	
440.4	9474	
440.6	9329	
440.8	9146	
441.0	8932	
441.2	8690	
441.4	8426	
441.6	8144	
441.8	7849	
442.0	7545	
442.2	7235	
442.4	6920	
442.6	6602	
442.8	6282	
443.0	5962	
443.2	5645	
443.4	5332	
443.6	5026	
443.8	4727	
444.0	4437	
444.2	4155	
444.4	3883	
444.6	3620	
444.8	3369	
445.0	3129	
445.2	2902	
445.4	2687	
445.6	2485	
445.8	2295	
446.0	2117	
446.2	1950	
446.4	1794	
446.6	1650	
446.8	1516	
447.0	1392	
447.2	1278	
447.4	1174	
447.6	1078	
447.8	989.6	
448.0	909.3	
448.2	836.0	
448.4	769.3	
448.6	708.7	
448.8	653.6	
449.0	603.6	
449.2	558.1	
449.4	516.7	
449.6	479.2	
449.8	445.1	
450.0	414.3	
450.2	386.2	
450.4	360.7	
450.6	337.5	
450.8	316.5	
451.0	297.5	
451.2	280.4	
451.4	264.9	
451.6	250.8	
451.8	238.1	
452.0	226.7	
452.2	216.4	
452.4	207.2	
452.6	198.8	
452.8	191.2	
453.0	184.3	
453.2	178.1	
453.4	172.7	
453.6	167.8	
453.8	163.4	
454.0	159.5	
454.2	156.1	
454.4	153.0	
454.6	150.3	
454.8	147.9	
455.0	146.0	
455.2	144.4	
455.4	143.0	
455.6	141.8	
455.8	140.6	
456.0	139.6	
456.2	138.7	
456.4	138.1	
456.6	137.7	
456.8	137.6	
457.0	137.6	
457.2	137.7	
457.4	137.9	
457.6	138.1	
457.8	138.5	
458.0	139.0	
458.2	139.5	
458.4	140.1	
458.6	140.8	
458.8	141.4	
459.0	142.3	
459.2	143.3	
459.4	144.3	
459.6	145.4	
459.8	146.5	
460.0	147.5	
460.2	148.8	
460.4	150.0	
460.6	151.4	
460.8	152.7	
461.0	153.9	
461.2	155.1	
461.4	156.3	
461.6	157.6	
461.8	159.0	
462.0	160.5	
462.2	162.0	
462.4	163.4	
462.6	164.8	
462.8	166.3	
463.0	167.8	
463.2	169.6	
463.4	171.4	
463.6	173.3	
463.8	175.1	
464.0	176.9	
464.2	178.7	
464.4	180.6	
464.6	182.4	
464.8	184.3	
465.0	186.2	
465.2	188.1	
465.4	190.1	
465.6	192.2	
465.8	194.4	
466.0	196.6	
466.2	198.7	
466.4	200.9	
466.6	203.0	
466.8	205.1	
467.0	207.5	
467.2	209.7	
467.4	212.0	
467.6	214.4	
467.8	216.9	
468.0	219.4	
468.2	222.0	
468.4	224.6	
468.6	227.2	
468.8	229.9	
469.0	232.4	
469.2	235.1	
469.4	237.7	
469.6	240.3	
469.8	243.2	
470.0	246.3	
470.2	249.3	
470.4	252.2	
470.6	254.9	
470.8	257.3	
471.0	259.9	
471.2	262.7	
471.4	265.6	
471.6	268.7	
471.8	271.8	
472.0	274.9	
472.2	278.2	
472.4	281.6	
472.6	285.0	
472.8	288.2	
473.0	291.2	
473.2	294.3	
473.4	297.3	
473.6	300.6	
473.8	303.8	
474.0	307.2	
474.2	310.5	
474.4	314.0	
474.6	317.3	
474.8	320.7	
475.0	324.2	
475.2	327.9	
475.4	331.8	
475.6	335.6	
475.8	339.3	
476.0	343.1	
476.2	346.9	
476.4	350.8	
476.6	354.7	
476.8	358.5	
477.0	362.3	
477.2	366.1	
477.4	369.9	
477.6	373.6	
477.8	377.3	
478.0	381.3	
478.2	385.4	
478.4	389.9	
478.6	394.4	
478.8	398.8	
479.0	403.2	
479.2	407.6	
479.4	411.9	
479.6	416.5	
479.8	421.1	
480.0	425.6	
480.2	430.0	
480.4	434.4	
480.6	438.8	
480.8	443.6	
481.0	448.6	
481.2	453.7	
481.4	458.5	
481.6	463.4	
481.8	468.5	
482.0	473.6	
482.2	478.8	
482.4	483.7	
482.6	488.4	
482.8	493.1	
483.0	498.1	
483.2	503.3	
483.4	508.6	
483.6	513.9	
483.8	519.1	
484.0	524.4	
484.2	529.9	
484.4	535.5	
484.6	541.5	
484.8	547.5	
485.0	553.7	
485.2	559.7	
485.4	565.8	
485.6	571.8	
485.8	578.0	
486.0	584.0	
486.2	590.1	
486.4	596.4	
486.6	602.8	
486.8	609.2	
487.0	615.7	
487.2	622.1	
487.4	628.7	
487.6	635.2	
487.8	641.7	
488.0	648.3	
488.2	655.0	
488.4	661.8	
488.6	668.7	
488.8	675.7	
489.0	682.7	
489.2	689.9	
489.4	697.3	
489.6	704.8	
489.8	712.4	
490.0	720.0	
490.2	727.6	
490.4	735.1	
490.6	742.7	
490.8	750.3	
491.0	757.8	
491.2	765.4	
491.4	773.1	
491.6	780.7	
491.8	788.6	
492.0	796.6	
492.2	804.7	
492.4	813.0	
492.6	821.1	
492.8	829.1	
493.0	837.1	
493.2	844.7	
