
nm	Data	
440.0	9999	
440.2	9942	
440.4	9835	
440.6	9682	
440.8	9492	
441.0	9270	
441.2	9020	
441.4	8746	
441.6	8454	
441.8	8146	
442.0	7829	
442.2	7505	
442.4	7177	
442.6	6845	
442.8	6511	
443.0	6178	
443.2	5848	
443.4	5522	
443.6	5204	
443.8	4893	
444.0	4591	
444.2	4298	
444.4	4015	
444.6	3743	
444.8	3482	
445.0	3233	
445.2	2997	
445.4	2775	
445.6	2565	
445.8	2368	
446.0	2184	
446.2	2011	
446.4	1850	
446.6	1700	
446.8	1562	
447.0	1434	
447.2	1316	
447.4	1208	
447.6	1109	
447.8	1018	
448.0	935.3	
448.2	859.7	
448.4	790.9	
448.6	728.3	
448.8	671.5	
449.0	620.0	
449.2	573.1	
449.4	530.7	
449.6	492.1	
449.8	457.0	
450.0	425.0	
450.2	395.9	
450.4	369.4	
450.6	345.5	
450.8	323.9	
451.0	304.3	
451.2	286.6	
451.4	270.5	
451.6	255.9	
451.8	242.7	
452.0	230.7	
452.2	219.8	
452.4	210.0	
452.6	201.3	
452.8	193.5	
453.0	186.4	
453.2	180.0	
453.4	174.3	
453.6	169.1	
453.8	164.6	
454.0	160.6	
454.2	157.0	
454.4	153.9	
454.6	151.1	
454.8	148.6	
455.0	146.5	
455.2	144.7	
455.4	143.0	
455.6	141.5	
455.8	140.2	
456.0	139.1	
456.2	138.2	
456.4	137.5	
456.6	137.1	
456.8	136.8	
457.0	136.5	
457.2	136.4	
457.4	136.3	
457.6	136.5	
457.8	136.8	
458.0	137.2	
458.2	137.6	
458.4	138.1	
458.6	138.7	
458.8	139.3	
459.0	140.2	
459.2	141.0	
459.4	141.9	
459.6	142.8	
459.8	143.7	
460.0	144.6	
460.2	145.8	
460.4	146.9	
460.6	148.1	
460.8	149.2	
461.0	150.3	
461.2	151.3	
461.4	152.5	
461.6	153.7	
461.8	155.0	
462.0	156.4	
462.2	157.9	
462.4	159.3	
462.6	160.9	
462.8	162.4	
463.0	163.9	
463.2	165.5	
463.4	167.0	
463.6	168.6	
463.8	170.3	
464.0	171.9	
464.2	173.7	
464.4	175.5	
464.6	177.4	
464.8	179.2	
465.0	181.1	
465.2	182.9	
465.4	184.8	
465.6	186.6	
465.8	188.6	
466.0	190.5	
466.2	192.4	
466.4	194.4	
466.6	196.3	
466.8	198.1	
467.0	200.1	
467.2	202.4	
467.4	204.8	
467.6	207.3	
467.8	209.9	
468.0	212.4	
468.2	214.9	
468.4	217.4	
468.6	219.8	
468.8	222.2	
469.0	224.6	
469.2	226.8	
469.4	229.0	
469.6	231.5	
469.8	234.0	
470.0	236.7	
470.2	239.7	
470.4	242.7	
470.6	245.7	
470.8	248.6	
471.0	251.2	
471.2	253.7	
471.4	256.3	
471.6	259.2	
471.8	262.2	
472.0	265.4	
472.2	268.5	
472.4	271.7	
472.6	274.9	
472.8	278.1	
473.0	281.3	
473.2	284.4	
473.4	287.7	
473.6	290.8	
473.8	294.0	
474.0	297.1	
474.2	300.2	
474.4	303.5	
474.6	306.7	
474.8	309.8	
475.0	313.0	
475.2	316.3	
475.4	319.8	
475.6	323.5	
475.8	327.1	
476.0	330.7	
476.2	334.5	
476.4	338.4	
476.6	342.4	
476.8	346.3	
477.0	350.3	
477.2	354.1	
477.4	358.1	
477.6	362.1	
477.8	366.1	
478.0	370.1	
478.2	374.1	
478.4	378.0	
478.6	382.2	
478.8	386.4	
479.0	390.6	
479.2	394.6	
479.4	398.4	
479.6	402.4	
479.8	406.6	
480.0	410.9	
480.2	415.0	
480.4	419.1	
480.6	423.4	
480.8	428.1	
481.0	433.0	
481.2	438.0	
481.4	442.7	
481.6	447.3	
481.8	452.1	
482.0	457.2	
482.2	462.4	
482.4	467.7	
482.6	472.7	
482.8	477.6	
483.0	482.5	
483.2	487.4	
483.4	492.5	
483.6	497.6	
483.8	502.8	
484.0	508.1	
484.2	513.8	
484.4	519.7	
484.6	525.6	
484.8	531.5	
485.0	537.2	
485.2	543.0	
485.4	549.3	
485.6	555.4	
485.8	561.5	
486.0	567.6	
486.2	573.6	
486.4	579.9	
486.6	586.7	
486.8	593.4	
487.0	599.9	
487.2	606.2	
487.4	612.4	
487.6	618.6	
487.8	625.0	
488.0	631.4	
488.2	637.9	
488.4	644.3	
488.6	650.7	
488.8	657.2	
489.0	664.1	
489.2	671.2	
489.4	678.6	
489.6	685.8	
489.8	693.1	
490.0	700.4	
490.2	707.8	
490.4	715.4	
490.6	722.8	
490.8	730.1	
491.0	737.5	
491.2	744.8	
491.4	752.1	
491.6	759.7	
491.8	767.3	
492.0	774.8	
492.2	782.4	
492.4	790.0	
492.6	797.5	
492.8	805.5	
493.0	813.7	
493.2	821.6	
493.4	829.6	
493.6	837.6	
493.8	845.6	
494.0	853.7	
494.2	861.8	
494.4	870.3	
494.6	878.9	
494.8	887.6	
495.0	896.4	
495.2	905.0	
495.4	913.6	
495.6	922.2	
495.8	930.8	
496.0	939.4	
496.2	948.2	
496.4	956.8	
496.6	965.5	
496.8	974.0	
497.0	982.3	
497.2	990.8	
497.4	999.0	
497.6	1007	
497.8	1016	
498.0	1024	
498.2	1033	
498.4	1041	
498.6	1050	
498.8	1059	
499.0	1068	
499.2	1078	
499.4	1087	
499.6	1096	
499.8	1105	
500.0	1114	
500.2	1123	
500.4	1133	
500.6	1142	
500.8	1151	
501.0	1160	
501.2	1169	
501.4	1178	
501.6	1187	
501.8	1197	
502.0	1206	
502.2	1215	
502.4	1224	
502.6	1233	
502.8	1242	
503.0	1251	
503.2	1261	
503.4	1269	
503.6	1278	
503.8	1288	
504.0	1297	
504.2	1307	
504.4	1316	
504.6	1325	
504.8	1335	
505.0	1344	
505.2	1353	
505.4	1361	
505.6	1370	
505.8	1380	
506.0	1389	
506.2	1399	
506.4	1409	
506.6	1419	
506.8	1428	
507.0	1438	
507.2	1447	
507.4	1456	
507.6	1465	
507.8	1474	
508.0	1484	
508.2	1493	
508.4	1503	
508.6	1512	
508.8	1522	
509.0	1532	
509.2	1542	
509.4	1552	
509.6	1561	
509.8	1571	
510.0	1580	
510.2	1590	
510.4	1600	
510.6	1610	
510.8	1619	
511.0	1629	
511.2	1638	
511.4	1647	
511.6	1657	
511.8	1667	
512.0	1677	
512.2	1686	
512.4	1695	
512.6	1704	
512.8	1713	
513.0	1723	
513.2	1732	
513.4	1742	
513.6	1751	
513.8	1760	
514.0	1769	
514.2	1779	
514.4	1789	
514.6	1798	
514.8	1807	
515.0	1817	
515.2	1827	
515.4	1837	
515.6	1846	
515.8	1855	
516.0	1864	
516.2	1872	
516.4	1881	
516.6	1890	
516.8	1899	
517.0	1907	
517.2	1916	
517.4	1924	
517.6	1932	
517.8	1941	
518.0	1950	
518.2	1958	
518.4	1967	
518.6	1975	
518.8	1983	
519.0	1991	
519.2	2000	
519.4	2008	
519.6	2016	
519.8	2024	
520.0	2031	
520.2	2039	
520.4	2047	
520.6	2056	
520.8	2064	
521.0	2071	
521.2	2078	
521.4	2085	
521.6	2093	
521.8	2101	
522.0	2108	
522.2	2114	
522.4	2121	
522.6	2128	
522.8	2135	
523.0	2142	
523.2	2149	
523.4	2156	
523.6	2162	
523.8	2168	
524.0	2174	
524.2	2180	
524.4	2187	
524.6	2193	
524.8	2199	
525.0	2205	
525.2	2210	
525.4	2215	
525.6	2221	
525.8	2226	
526.0	2232	
526.2	2238	
526.4	2244	
526.6	2249	
526.8	2255	
527.0	2260	
527.2	2265	
527.4	2269	
527.6	2273	
527.8	2277	
528.0	2281	
528.2	2286	
528.4	2289	
528.6	2293	
528.8	2297	
529.0	2300	
529.2	2304	
529.4	2307	
529.6	2309	
529.8	2313	
530.0	2316	
530.2	2319	
530.4	2322	
530.6	2324	
530.8	2326	
531.0	2328	
531.2	2330	
531.4	2332	
531.6	2334	
531.8	2336	
532.0	2339	
532.2	2340	
532.4	2342	
532.6	2343	
532.8	2344	
533.0	2346	
533.2	2347	
533.4	2348	
533.6	2349	
533.8	2350	
534.0	2350	
534.2	2351	
534.4	2351	
534.6	2350	
534.8	2349	
535.0	2349	
535.2	2348	
535.4	2349	
535.6	2349	
535.8	2349	
536.0	2349	
536.2	2348	
536.4	2347	
536.6	2345	
536.8	2344	
537.0	2343	
537.2	2343	
537.4	2341	
537.6	2340	
537.8	2338	
538.0	2337	
538.2	2335	
538.4	2333	
538.6	2330	
538.8	2328	
539.0	2325	
539.2	2323	
539.4	2321	
539.6	2319	
539.8	2316	
540.0	2314	
540.2	2311	
540.4	2307	
540.6	2304	
540.8	2301	
541.0	2298	
541.2	2294	
541.4	2291	
541.6	2288	
541.8	2285	
542.0	2281	
542.2	2278	
542.4	2274	
542.6	2271	
542.8	2267	
543.0	2264	
543.2	2260	
543.4	2256	
543.6	2253	
543.8	2249	
544.0	2245	
544.2	2241	
544.4	2237	
544.6	2232	
544.8	2228	
545.0	2224	
545.2	2220	
545.4	2215	
545.6	2210	
545.8	2206	
546.0	2201	
546.2	2197	
546.4	2194	
546.6	2189	
546.8	2185	
547.0	2180	
547.2	2174	
547.4	2169	
547.6	2163	
547.8	2159	
548.0	2154	
548.2	2150	
548.4	2145	
548.6	2140	
548.8	2135	
549.0	2129	
549.2	2124	
549.4	2119	
549.6	2114	
549.8	2109	
550.0	2104	
550.2	2098	
550.4	2093	
550.6	2087	
550.8	2081	
551.0	2076	
551.2	2071	
551.4	2065	
551.6	2059	
551.8	2053	
552.0	2048	
552.2	2043	
552.4	2038	
552.6	2033	
552.8	2028	
553.0	2022	
553.2	2016	
553.4	2010	
553.6	2004	
553.8	1998	
554.0	1992	
554.2	1986	
554.4	1980	
554.6	1974	
554.8	1968	
555.0	1963	
555.2	1957	
555.4	1952	
555.6	1947	
555.8	1941	
556.0	1935	
556.2	1930	
556.4	1925	
556.6	1919	
556.8	1913	
557.0	1907	
557.2	1900	
557.4	1893	
557.6	1887	
557.8	1881	
558.0	1875	
558.2	1868	
558.4	1862	
558.6	1856	
558.8	1851	
559.0	1846	
559.2	1840	
559.4	1834	
559.6	1828	
559.8	1822	
560.0	1817	
560.2	1811	
560.4	1805	
560.6	1799	
560.8	1793	
561.0	1788	
561.2	1782	
561.4	1777	
561.6	1771	
561.8	1764	
562.0	1758	
562.2	1752	
562.4	1746	
562.6	1739	
562.8	1733	
563.0	1726	
563.2	1720	
563.4	1714	
563.6	1709	
563.8	1703	
564.0	1697	
564.2	1691	
564.4	1685	
564.6	1679	
564.8	1673	
565.0	1667	
565.2	1660	
565.4	1653	
565.6	1647	
565.8	1640	
566.0	1633	
566.2	1626	
566.4	1620	
566.6	1614	
566.8	1607	
567.0	1601	
567.2	1595	
567.4	1589	
567.6	1583	
567.8	1577	
568.0	1571	
568.2	1565	
568.4	1559	
568.6	1553	
568.8	1547	
569.0	1540	
569.2	1533	
569.4	1527	
569.6	1520	
569.8	1514	
570.0	1507	
570.2	1501	
570.4	1494	
570.6	1488	
570.8	1482	
571.0	1476	
571.2	1470	
571.4	1464	
571.6	1458	
571.8	1452	
572.0	1446	
572.2	1440	
572.4	1434	
572.6	1428	
572.8	1422	
573.0	1416	
573.2	1410	
573.4	1405	
573.6	1399	
573.8	1394	
574.0	1388	
574.2	1382	
574.4	1376	
574.6	1370	
574.8	1363	
575.0	1357	
575.2	1350	
575.4	1344	
575.6	1338	
575.8	1332	
576.0	1327	
576.2	1321	
576.4	1315	
576.6	1308	
576.8	1302	
577.0	1296	
577.2	1290	
577.4	1284	
577.6	1278	
577.8	1272	
578.0	1266	
578.2	1261	
578.4	1254	
578.6	1248	
578.8	1241	
579.0	1235	
579.2	1229	
579.4	1224	
579.6	1219	
579.8	1213	
580.0	1207	
580.2	1201	
580.4	1196	
580.6	1191	
580.8	1185	
581.0	1180	
581.2	1173	
581.4	1168	
581.6	1162	
581.8	1156	
582.0	1150	
582.2	1144	
582.4	1138	
582.6	1132	
582.8	1126	
583.0	1120	
583.2	1114	
583.4	1109	
583.6	1103	
583.8	1097	
584.0	1091	
584.2	1086	
584.4	1081	
584.6	1076	
584.8	1071	
585.0	1065	
585.2	1060	
585.4	1054	
585.6	1047	
585.8	1041	
586.0	1036	
586.2	1030	
586.4	1024	
586.6	1019	
586.8	1013	
587.0	1008	
587.2	1002	
587.4	996.8	
587.6	991.6	
587.8	986.5	
588.0	981.1	
588.2	975.6	
588.4	970.0	
588.6	964.6	
588.8	959.6	
589.0	954.6	
589.2	949.6	
589.4	944.6	
589.6	939.5	
589.8	934.5	
590.0	929.4	
590.2	924.2	
590.4	919.2	
590.6	914.1	
590.8	909.0	
591.0	903.9	
591.2	898.7	
591.4	893.5	
591.6	888.5	
591.8	883.5	
592.0	878.8	
592.2	874.0	
592.4	869.3	
592.6	864.6	
592.8	859.9	
593.0	855.3	
593.2	850.8	
593.4	846.2	
593.6	841.5	
593.8	836.5	
594.0	831.5	
594.2	826.5	
594.4	821.7	
594.6	817.0	
594.8	812.3	
595.0	807.6	
595.2	802.9	
595.4	798.1	
595.6	793.5	
595.8	789.0	
596.0	784.3	
596.2	779.7	
596.4	775.1	
596.6	770.4	
596.8	765.9	
597.0	761.4	
597.2	757.0	
597.4	752.4	
597.6	747.7	
597.8	743.1	
598.0	738.4	
598.2	733.7	
598.4	729.2	
598.6	724.9	
598.8	721.0	
599.0	716.9	
599.2	712.7	
599.4	708.1	
599.6	703.6	
599.8	699.3	
600.0	695.1	
600.2	690.7	
600.4	686.3	
600.6	681.8	
600.8	677.5	
601.0	673.4	
601.2	669.7	
601.4	665.9	
601.6	661.9	
601.8	657.7	
602.0	653.5	
602.2	649.3	
602.4	645.4	
602.6	641.6	
602.8	637.9	
603.0	634.1	
603.2	630.2	
603.4	626.3	
603.6	622.4	
603.8	618.5	
604.0	614.6	
604.2	610.9	
604.4	607.2	
604.6	603.5	
604.8	599.6	
605.0	595.5	
605.2	591.5	
605.4	587.7	
605.6	584.0	
605.8	580.2	
606.0	576.3	
606.2	572.4	
606.4	568.5	
606.6	564.9	
606.8	561.3	
607.0	557.7	
607.2	554.2	
607.4	550.6	
607.6	547.0	
607.8	543.3	
608.0	539.5	
608.2	536.0	
608.4	532.2	
608.6	528.8	
608.8	525.4	
609.0	521.9	
609.2	518.7	
609.4	515.5	
609.6	512.1	
609.8	508.7	
610.0	505.4	
610.2	502.1	
610.4	499.0	
610.6	495.9	
610.8	492.6	
611.0	489.3	
611.2	486.0	
611.4	482.6	
611.6	479.4	
611.8	476.3	
612.0	473.3	
612.2	470.2	
612.4	467.0	
612.6	463.7	
612.8	460.5	
613.0	457.4	
613.2	454.5	
613.4	451.4	
613.6	448.5	
613.8	445.6	
614.0	442.6	
614.2	439.7	
614.4	436.9	
614.6	433.9	
614.8	431.1	
615.0	428.1	
615.2	425.3	
615.4	422.4	
615.6	419.5	
615.8	416.6	
616.0	413.7	
616.2	410.9	
616.4	408.1	
616.6	405.4	
616.8	402.5	
617.0	399.5	
617.2	396.6	
617.4	393.7	
617.6	390.9	
617.8	388.3	
618.0	385.6	
618.2	382.9	
618.4	380.2	
618.6	377.4	
618.8	374.8	
619.0	372.0	
619.2	369.5	
619.4	366.9	
619.6	364.2	
619.8	361.5	
620.0	358.9	
620.2	356.3	
620.4	353.9	
620.6	351.4	
620.8	349.0	
621.0	346.6	
621.2	344.2	
621.4	341.9	
621.6	339.5	
621.8	337.1	
622.0	334.6	
622.2	332.2	
622.4	329.8	
622.6	327.4	
622.8	325.0	
623.0	322.6	
623.2	320.3	
623.4	318.1	
623.6	316.0	
623.8	313.9	
624.0	311.6	
624.2	309.4	
624.4	307.2	
624.6	305.0	
624.8	302.8	
625.0	300.6	
625.2	298.4	
625.4	296.2	
625.6	294.0	
625.8	291.8	
626.0	289.6	
626.2	287.4	
626.4	285.4	
626.6	283.3	
626.8	281.2	
627.0	279.0	
627.2	276.6	
627.4	274.4	
627.6	272.1	
627.8	269.8	
628.0	267.6	
628.2	265.6	
628.4	263.5	
628.6	261.5	
628.8	259.6	
629.0	257.9	
629.2	256.3	
629.4	254.6	
629.6	252.7	
629.8	250.4	
630.0	248.2	
630.2	246.1	
630.4	244.2	
630.6	242.4	
630.8	240.5	
631.0	238.5	
631.2	236.7	
631.4	234.8	
631.6	233.0	
631.8	231.1	
632.0	229.3	
632.2	227.3	
632.4	225.4	
632.6	223.6	
632.8	221.7	
633.0	219.9	
633.2	218.0	
633.4	216.2	
633.6	214.2	
633.8	212.2	
634.0	210.4	
634.2	208.7	
634.4	207.2	
634.6	205.9	
634.8	204.6	
635.0	203.1	
635.2	201.6	
635.4	199.9	
635.6	198.1	
635.8	196.4	
636.0	194.8	
636.2	193.3	
636.4	191.9	
636.6	190.5	
636.8	189.1	
637.0	187.7	
637.2	186.1	
637.4	184.6	
637.6	183.2	
637.8	181.8	
638.0	180.7	
638.2	179.5	
638.4	178.3	
638.6	177.1	
638.8	175.8	
639.0	174.5	
639.2	173.3	
639.4	172.0	
639.6	170.7	
639.8	169.5	
640.0	168.2	
640.2	166.9	
640.4	165.6	
640.6	164.4	
640.8	163.2	
641.0	162.1	
641.2	161.0	
641.4	159.9	
641.6	158.8	
641.8	157.5	
642.0	156.1	
642.2	154.7	
642.4	153.3	
642.6	152.1	
642.8	151.0	
643.0	150.0	
643.2	148.9	
643.4	147.8	
643.6	146.7	
643.8	145.6	
644.0	144.5	
644.2	143.4	
644.4	142.2	
644.6	141.1	
644.8	139.9	
645.0	138.8	
645.2	137.8	
645.4	136.8	
645.6	135.7	
645.8	134.5	
646.0	133.2	
646.2	132.0	
646.4	130.8	
646.6	129.7	
646.8	128.6	
647.0	127.5	
647.2	126.5	
647.4	125.7	
647.6	124.8	
647.8	123.9	
648.0	122.8	
648.2	121.7	
648.4	120.6	
648.6	119.7	
648.8	118.8	
649.0	117.9	
649.2	117.0	
649.4	116.0	
649.6	115.1	
649.8	114.2	
650.0	113.4	
650.2	112.6	
650.4	111.7	
650.6	110.8	
650.8	109.9	
651.0	109.0	
651.2	108.1	
651.4	107.2	
651.6	106.3	
651.8	105.5	
652.0	104.6	
652.2	103.7	
652.4	102.8	
652.6	101.9	
652.8	101.1	
653.0	100.3	
653.2	99.44	
653.4	98.64	
653.6	97.82	
653.8	97.11	
654.0	96.39	
654.2	95.69	
654.4	94.97	
654.6	94.16	
654.8	93.34	
655.0	92.55	
655.2	91.71	
655.4	90.92	
655.6	90.12	
655.8	89.26	
656.0	88.48	
656.2	87.69	
656.4	86.98	
656.6	86.35	
656.8	85.76	
657.0	85.11	
657.2	84.51	
657.4	83.87	
657.6	83.23	
657.8	82.60	
658.0	81.93	
658.2	81.21	
658.4	80.52	
658.6	79.78	
658.8	79.00	
659.0	78.33	
659.2	77.68	
659.4	77.04	
659.6	76.43	
659.8	75.78	
660.0	75.09	
660.2	74.44	
660.4	73.83	
660.6	73.24	
