
nm	Data	
440.0	9999.9	
440.2	9951	
440.4	9850	
440.6	9705	
440.8	9521	
441.0	9304	
441.2	9060	
441.4	8791	
441.6	8502	
441.8	8197	
442.0	7882	
442.2	7558	
442.4	7230	
442.6	6899	
442.8	6566	
443.0	6232	
443.2	5901	
443.4	5573	
443.6	5252	
443.8	4939	
444.0	4635	
444.2	4340	
444.4	4054	
444.6	3780	
444.8	3517	
445.0	3266	
445.2	3028	
445.4	2804	
445.6	2592	
445.8	2393	
446.0	2207	
446.2	2032	
446.4	1869	
446.6	1718	
446.8	1578	
447.0	1449	
447.2	1330	
447.4	1220	
447.6	1120	
447.8	1028	
448.0	944.5	
448.2	868.0	
448.4	798.3	
448.6	734.8	
448.8	677.0	
449.0	624.7	
449.2	577.3	
449.4	534.2	
449.6	495.1	
449.8	459.6	
450.0	427.2	
450.2	397.9	
450.4	371.3	
450.6	347.1	
450.8	325.2	
451.0	305.4	
451.2	287.4	
451.4	271.1	
451.6	256.2	
451.8	242.7	
452.0	230.5	
452.2	219.5	
452.4	209.7	
452.6	201.0	
452.8	193.0	
453.0	185.8	
453.2	179.3	
453.4	173.3	
453.6	167.9	
453.8	163.1	
454.0	158.8	
454.2	155.0	
454.4	151.7	
454.6	148.8	
454.8	146.3	
455.0	144.0	
455.2	142.0	
455.4	140.1	
455.6	138.6	
455.8	137.3	
456.0	136.3	
456.2	135.4	
456.4	134.7	
456.6	134.2	
456.8	133.8	
457.0	133.6	
457.2	133.4	
457.4	133.4	
457.6	133.5	
457.8	133.6	
458.0	133.9	
458.2	134.3	
458.4	134.8	
458.6	135.3	
458.8	135.8	
459.0	136.4	
459.2	137.0	
459.4	137.6	
459.6	138.5	
459.8	139.4	
460.0	140.4	
460.2	141.4	
460.4	142.4	
460.6	143.5	
460.8	144.6	
461.0	145.6	
461.2	146.6	
461.4	147.6	
461.6	148.6	
461.8	149.7	
462.0	150.9	
462.2	152.2	
462.4	153.5	
462.6	154.8	
462.8	156.2	
463.0	157.7	
463.2	159.1	
463.4	160.6	
463.6	162.1	
463.8	163.6	
464.0	165.1	
464.2	166.6	
464.4	168.3	
464.6	170.1	
464.8	171.8	
465.0	173.4	
465.2	174.9	
465.4	176.5	
465.6	178.2	
465.8	180.1	
466.0	182.1	
466.2	184.1	
466.4	186.1	
466.6	188.2	
466.8	190.1	
467.0	191.9	
467.2	193.8	
467.4	195.7	
467.6	197.9	
467.8	200.4	
468.0	202.9	
468.2	205.3	
468.4	207.7	
468.6	210.0	
468.8	212.6	
469.0	215.2	
469.2	217.9	
469.4	220.5	
469.6	223.0	
469.8	225.5	
470.0	227.9	
470.2	230.4	
470.4	233.0	
470.6	235.5	
470.8	238.1	
471.0	240.8	
471.2	243.4	
471.4	245.9	
471.6	248.5	
471.8	251.1	
472.0	253.9	
472.2	256.8	
472.4	259.7	
472.6	262.4	
472.8	264.9	
473.0	267.5	
473.2	270.2	
473.4	273.2	
473.6	276.4	
473.8	279.5	
474.0	282.5	
474.2	285.6	
474.4	288.7	
474.6	291.8	
474.8	295.0	
475.0	298.2	
475.2	301.4	
475.4	304.7	
475.6	308.1	
475.8	311.7	
476.0	315.4	
476.2	319.2	
476.4	322.8	
476.6	326.2	
476.8	329.4	
477.0	332.7	
477.2	336.0	
477.4	339.4	
477.6	342.7	
477.8	346.0	
478.0	349.4	
478.2	353.0	
478.4	356.7	
478.6	360.4	
478.8	364.0	
479.0	367.8	
479.2	371.6	
479.4	375.5	
479.6	379.5	
479.8	383.4	
480.0	387.3	
480.2	391.3	
480.4	395.4	
480.6	399.7	
480.8	404.2	
481.0	408.7	
481.2	413.2	
481.4	417.5	
481.6	421.9	
481.8	426.5	
482.0	431.3	
482.2	436.0	
482.4	440.7	
482.6	445.1	
482.8	449.5	
483.0	454.0	
483.2	458.5	
483.4	463.2	
483.6	468.3	
483.8	473.5	
484.0	478.7	
484.2	483.7	
484.4	488.8	
484.6	494.0	
484.8	499.4	
485.0	504.8	
485.2	510.4	
485.4	516.0	
485.6	521.6	
485.8	527.1	
486.0	532.4	
486.2	537.5	
486.4	542.7	
486.6	548.3	
486.8	554.1	
487.0	560.2	
487.2	566.2	
487.4	572.1	
487.6	578.1	
487.8	584.2	
488.0	590.6	
488.2	597.1	
488.4	603.4	
488.6	609.7	
488.8	615.7	
489.0	622.0	
489.2	628.3	
489.4	634.7	
489.6	641.3	
489.8	647.8	
490.0	654.2	
490.2	660.6	
490.4	667.1	
490.6	673.8	
490.8	680.6	
491.0	687.6	
491.2	694.5	
491.4	701.6	
491.6	708.8	
491.8	715.9	
492.0	722.6	
492.2	729.4	
492.4	736.0	
492.6	742.9	
492.8	750.0	
493.0	757.3	
493.2	764.7	
493.4	772.1	
493.6	779.6	
493.8	787.1	
494.0	794.7	
494.2	802.1	
494.4	809.4	
494.6	816.5	
494.8	823.6	
495.0	830.9	
495.2	838.6	
495.4	846.4	
495.6	854.3	
495.8	862.2	
496.0	870.1	
496.2	877.8	
496.4	885.3	
496.6	892.7	
496.8	900.3	
497.0	908.1	
497.2	916.0	
497.4	924.0	
497.6	931.6	
497.8	939.1	
498.0	946.9	
498.2	955.1	
498.4	963.5	
498.6	971.9	
